feature1,feature2,additive_rmst,additive_interaction_score,string_evidence,biogrid_evidence
AKAP1,ASMTL,157.99542,78.59908,0,0
PRKCD,LAGE3,144.77246,78.59601,0,0
GADD45B,SRRM1,154.1517,78.56113,0,0
MVP,TOMM34,201.8329,78.49206,0,0
MRPL19,CRELD2,144.11193,78.40988,0,0
TBCB,AFF1,195.30113,78.39783,0,0
ETFB,ELOVL6,121.02105,78.31304,0,0
CREG1,ELOVL6,120.94074,78.23273,1,0
SLC25A14,DRAP1,143.11868,78.09538,0,0
DRAP1,LAGE3,144.04443,77.86798,0,0
NCAPD2,GLRX,213.15497,77.77728,0,0
G3BP1,STAT6,161.79278,77.77452,0,0
VAMP7,PRKCD,139.19141,77.71358,0,0
FKBP14,CSRP1,188.55873,77.70956,0,0
CHIC2,LAGE3,182.32421,77.68305,0,0
ZNF586,CHCHD7,170.67173,77.63339,0,0
SLC35B1,ATP1B1,151.06076,77.56594,0,0
ITGB5,GPRC5C,143.91929,77.53432,0,0
GADD45B,WDTC1,165.09184,77.45385,0,0
ETFB,VGLL4,136.59789,77.05531,0,0
CNOT4,LAGE3,143.14495,76.9685,0,0
P4HA2,ADH5,157.62936,76.92706,0,0
SRRM1,ANO10,171.06409,76.87634,0,0
PRR7,TMEM2,189.31941,76.87064,0,0
MAP3K4,RBKS,132.88949,76.8319,0,0
DHX29,P4HA2,157.5246,76.8223,0,0
ACAA1,GRB10,185.7536,76.79098,0,0
PKD1,GAA,135.79957,76.79,0,0
PDIA5,CBR3,233.05798,76.78612,0,0
PKD1,SNX6,120.90851,76.78359,0,0
TGDS,EBP,129.2043,76.46334,0,0
ASAP2,GPRC5C,142.80493,76.41996,0,0
ANXA7,TNFRSF21,158.41505,76.39964,0,0
POLR2K,ASAP2,129.00871,76.32495,0,0
HES1,TRAK2,169.46415,76.25,0,0
MAPKAPK5,POLR2I,172.77844,76.20413,0,0
MOK,CTNNAL1,190.79758,76.19584,0,0
PTPRF,DRAP1,143.68581,76.15311,0,0
P4HA2,CREB1,156.79932,76.09702,1,0
P4HA2,GNA11,156.75515,76.05285,0,0
MARK4,P4HA2,156.72608,76.02378,0,0
STXBP1,TLE3,147.40414,75.99692,0,0
ZNF629,GPRC5C,142.37138,75.98641,0,0
LHPP,SEC24C,161.75772,75.87467,0,0
CD44,ITGAE,192.92117,75.82878,1,0
KDM5A,POLR2I,172.37856,75.80425,0,0
PRKCD,ELOVL6,133.86159,75.7677,0,0
P4HA2,SFMBT1,200.83122,75.65817,0,0
DMTF1,CSRP1,186.46895,75.61978,0,0
BHLHE40,NFIL3,204.47734,75.60926,1,0
CCNF,CHCHD7,212.86993,75.55813,0,0
TFAP2A,PRKCD,133.49002,75.39613,0,0
VPS26A,TSPAN3,156.01931,75.39407,0,0
ANKRD10,SDHB,138.76914,75.38731,0,0
FAT1,RTN2,137.07692,75.29191,0,0
CREB1,LAGE3,141.37032,75.19387,0,0
POLR2I,AFF1,192.07762,75.17432,1,0
CDCA4,TCTN1,210.07852,75.14739,0,0
GRB10,CHIC2,184.10492,75.1423,0,0
P4HA2,PDS5A,161.98509,75.07667,0,0
ANKRD10,PTPRF,142.57628,75.04358,0,0
RFC5,CEBPD,183.15673,75.02633,0,0
ITGAE,CSRP1,185.87218,75.02301,0,0
SRRM1,CRTAP,150.54459,74.95402,0,0
ISOC1,CTTN,190.62443,74.92831,0,0
CSRP1,CDCA4,199.54965,74.91606,0,0
GRB10,SCP2,183.81448,74.85186,0,0
TIMP2,STAT6,158.86654,74.84828,1,0
USP14,LAGE3,148.12575,74.81451,0,0
DHX29,CHCHD7,155.31126,74.80764,0,0
ELAVL1,CHAC1,180.34844,74.79655,0,0
LIMK2,RNPS1,128.44557,74.75878,0,0
PIN1,PRKCD,132.78802,74.69413,1,0
PTPRF,SKIV2L,148.36683,74.6684,0,0
TRAPPC6A,ANXA7,156.62539,74.60998,0,0
SEC14L1,GPRC5C,158.12955,74.60835,0,0
HS2ST1,CBR3,227.00234,74.599,0,0
STAT6,PRAF2,158.61432,74.59606,0,0
GADD45B,PIK3C2B,148.37145,74.5366,0,0
PAPD7,PRKCD,132.59227,74.49838,0,0
GMDS,RBKS,130.44085,74.44192,0,0
POLR2I,UTP14A,175.14276,74.40397,0,0
P4HA2,GOLT1B,155.10418,74.40188,0,0
GOLT1B,GPRC5C,145.9505,74.35553,0,0
BAZ1B,CHAC1,188.49819,74.35131,0,0
NOL3,TMED10,166.90512,74.34955,0,0
STX4,PTPRF,141.87371,74.34101,0,0
CTNNAL1,RPL39L,209.89663,74.17504,0,0
MRPL19,EBP,130.37812,74.17407,0,0
ELAVL1,P4HA2,177.51749,74.14818,0,0
MRPL19,MRPL12,130.28293,74.07888,1,1
TMEM2,CSRP1,186.47594,74.02717,0,0
P4HA2,GABPB1,154.70183,73.99953,0,0
RAB21,POLR2I,173.3445,73.9032,0,0
NOL3,MTF2,166.41193,73.85636,0,0
CSRP1,KIAA0753,184.56952,73.72035,0,0
TIMP2,P4HA2,154.38577,73.68347,1,0
HEATR1,STAT6,164.59568,73.65299,0,0
PNKP,SFMBT1,205.63223,73.60435,0,0
MBNL2,CRELD2,139.27924,73.57719,0,0
MCM3,CSRP1,216.94552,73.5459,0,0
RBKS,CRELD2,139.16815,73.4661,0,0
SYPL1,TBCB,170.30161,73.44093,0,0
NOL3,NR2F6,172.87543,73.37946,0,0
PRKCD,MRPL12,131.46385,73.36996,0,0
P4HA2,KDM5A,154.05785,73.35555,0,0
PDS5A,LAGE3,160.24077,73.33235,0,0
MPC2,VGLL4,132.8672,73.32462,0,0
GABPB1,STAT6,157.21089,73.19263,0,0
VPS26A,INSIG1,153.78973,73.16449,0,0
SLC25A14,PRKCD,138.11476,73.09146,0,0
POLR2I,SCRN1,169.65943,73.08512,0,0
ACAA1,PAPD7,137.06567,73.07852,0,0
CHIC2,CDKN1A,186.15568,73.06334,0,0
P4HA2,GGA2,153.74343,73.04113,0,0
EBP,PRKCD,131.06339,72.9695,0,0
STAT6,CRELD2,156.97337,72.95511,0,0
P4HA2,MAPKAPK5,167.05917,72.9359,0,0
P4HA2,RAD51C,153.60207,72.89977,0,0
P4HA2,EBP,153.56311,72.86081,0,0
BAD,TGDS,134.10764,72.84212,0,0
TIMM22,LAGE3,154.08451,72.82384,0,0
ASAP2,PRAF2,146.97068,72.7903,0,0
POLR2I,SACM1L,199.06293,72.77638,0,0
MTF2,CSRP1,183.56967,72.7205,0,0
TFAP2A,CRTAP,140.4909,72.6819,0,0
P4HA2,UTP14A,173.39365,72.65486,1,1
TNIP1,ALDH7A1,163.25613,72.64085,0,0
ADAM10,MPC2,150.59215,72.62562,0,0
SGCB,CHCHD7,167.10573,72.58029,0,0
PRR7,LIMK2,183.39939,72.57909,0,0
SRRM1,TIMM22,153.83517,72.5745,0,0
BAZ1B,NOL3,186.69096,72.54408,0,0
PAPD7,RBKS,128.54272,72.54379,0,0
ATP11B,POLR2I,182.59256,72.49308,0,0
STAT6,ACBD3,162.08377,72.4044,0,0
P4HA2,PLEKHJ1,153.07783,72.37553,0,0
NSFL1C,EPHB4,183.0233,72.37405,0,0
GPRC5C,CRELD2,138.75216,72.36719,0,0
TBCB,ADH5,164.78077,72.31022,0,0
ERBB2,TUBB6,220.54436,72.29796,1,1
ELAVL1,CHCHD7,175.65771,72.2884,0,0
SMARCD2,PRKCD,130.34354,72.24965,0,0
GRB10,HES1,181.13155,72.16893,0,0
DCUN1D4,NOL3,164.66379,72.10822,0,0
LHPP,ANXA7,157.95607,72.07302,0,0
P4HA2,HAT1,202.26551,72.05153,0,0
GPRC5C,TSKU,138.39711,72.01214,0,0
BAD,SH3BP5,144.77103,72.01059,0,0
PKD1,CRTAP,139.81156,72.00256,0,0
TFAP2A,PTPRF,139.50603,71.97333,0,0
UBE2A,PPARG,180.02157,71.90207,0,0
SCRN1,NOL3,164.45001,71.89444,0,0
RPF1,CBR3,231.53678,71.85015,0,0
CD320,HIST2H2BE,169.90662,71.81852,0,0
ACAA1,GGA2,142.34269,71.79077,0,0
HOMER2,SNRPF,141.99999,71.78365,0,0
ISOC1,TCIRG1,208.80448,71.77654,0,0
PRKCD,NT5DC2,129.85863,71.76474,0,0
HES1,KIAA0922,164.97851,71.76436,0,0
MPC2,CRELD2,137.45811,71.75606,0,0
SFMBT1,EPHB4,196.91285,71.7398,0,0
PIGB,CCNF,209.04189,71.73009,0,0
IMPA2,CBR3,224.07632,71.67298,0,0
CTNNAL1,NOL3,186.27296,71.67122,0,0
TBCB,HIST1H2BD,191.04138,71.63753,0,0
TGDS,ELOVL6,124.32081,71.57985,0,0
YBX3,IPO13,190.48159,71.40682,0,0
GABPB1,POLR2I,167.95896,71.38465,0,0
TIMP2,PTPRF,149.9089,71.37954,0,0
ATP1B1,CTNND1,157.82337,71.37718,0,0
NARFL,PRKCD,129.3967,71.30281,0,0
MOK,GABPB1,164.89341,71.28921,0,0
SRRM1,ALDH7A1,149.29555,71.26037,0,0
CRTAP,POLG2,139.05964,71.25064,0,0
PAK4,PCBD1,183.08561,71.24687,0,0
BAZ1B,YBX3,190.3024,71.22763,0,0
UTP14A,CSRP1,181.97544,71.12627,0,0
SDHB,CRTAP,138.90106,71.09206,0,0
P4HA2,ZNF768,151.77721,71.07491,0,0
INPP1,SEC24C,172.0306,71.0487,0,0
NENF,SACM1L,211.73713,71.04812,0,0
HES1,NOL3,164.14592,70.93177,0,0
P4HA2,TSKU,151.59406,70.89176,1,0
RAB3GAP1,GAA,141.31678,70.86223,0,0
STUB1,PTEN,137.17931,70.84075,1,1
FPGS,PRKCD,128.91204,70.81815,0,0
CRTAP,ZGPAT,157.52386,70.69665,0,0
FAS,RPA1,190.27222,70.63895,0,0
CORO1A,CETN3,161.26378,70.6346,0,0
CHAC1,KIAA0907,176.17382,70.62193,0,0
SYPL1,GRB10,179.57896,70.61634,0,0
PIK3C2B,ATG3,144.44029,70.60544,0,0
PTPRF,MRPL12,138.13402,70.60132,0,0
CRELD2,LAGE3,136.76683,70.59038,0,0
VPS26A,PUF60,151.21246,70.58722,0,0
GRB10,CEBPD,179.48254,70.51992,0,0
KIAA0355,RAD9A,169.99075,70.492,0,0
ANO10,SNX7,164.67803,70.49028,0,0
CHIC2,CTSL,188.20215,70.48952,0,0
STAT6,MPZL1,154.49012,70.47186,0,0
PAN2,GPRC5C,136.83815,70.45318,0,0
SLC36A1,CETN3,148.40771,70.44538,0,0
RHOBTB1,ITGAE,160.50028,70.44343,0,0
EFCAB14,RFNG,138.1591,70.40568,0,0
TFAP2A,GAA,129.40793,70.39836,0,0
CBR3,SACM1L,222.755,70.35166,0,0
ELAVL1,TMEM109,173.70728,70.33797,0,0
P4HA2,NR2F6,169.80354,70.30757,0,0
SCP2,EBP,172.61284,70.22924,0,0
TIMP2,SDHB,148.69699,70.16763,0,0
EBP,CETN3,144.27662,70.14309,0,0
GADD45B,CRTAP,137.89923,70.09023,0,0
CA12,CCP110,173.15947,70.06476,0,0
P4HA2,UBE3B,150.74947,70.04717,0,0
GPRC5C,ZNF672,136.31093,69.92596,0,0
PRKCD,SKIV2L,143.56364,69.86521,0,0
TBCB,CETN3,162.25393,69.78338,0,0
RPA1,CSRP1,181.40589,69.7588,0,0
P4HA2,NSFL1C,156.07256,69.70833,0,0
DMTF1,LAGE3,135.88327,69.70682,0,0
GAA,DDX10,128.69296,69.68339,0,0
CHIC2,CSRP1,180.51793,69.66876,0,0
MVP,MOK,182.19226,69.6581,0,0
HMG20B,HPRT1,176.5651,69.60609,0,0
GRB10,TCTN1,204.52362,69.59249,0,0
CSRP1,AFF1,186.47854,69.57524,0,0
PAN2,CRTAP,137.37396,69.56496,0,0
CSRP1,SGCB,180.40917,69.56,0,0
TGDS,SNRPF,139.7459,69.52956,0,0
CREB1,CHCHD7,150.01669,69.51307,0,0
GRB10,HMGCL,178.46889,69.50627,0,0
RHOBTB1,LAGE3,159.56212,69.50527,0,0
ASAP2,LAGE3,135.65778,69.48133,0,0
TMEM2,ARHGAP1,185.87458,69.46308,0,0
VPS26A,GRHPR,150.05866,69.43342,0,0
ISOC1,IKBKE,183.33289,69.41609,0,0
PNKP,ISOC1,201.41591,69.38803,1,0
PHGDH,INSIG1,120.46189,69.36512,0,0
ATG3,PHKG2,124.42562,69.34055,0,0
SNX13,CNPY3,159.22221,69.32109,0,0
TGDS,PHKG2,122.05929,69.31833,0,0
DHX8,CHCHD7,163.73814,69.29057,0,0
CPNE3,TFAP2A,118.48027,69.28931,0,0
SMC1A,PRKCD,127.3143,69.22041,0,0
P4HA2,STAP2,149.8841,69.1818,0,0
HES1,SH3BP5,162.2468,69.03265,0,0
ENOSF1,TIMM22,152.46358,68.99704,0,0
P4HA2,ADCY9,149.62948,68.92718,0,0
RFC5,GAA,165.89956,68.89904,0,0
KIAA0907,STAT6,152.90904,68.89078,0,0
CORO1A,DMTF1,159.51625,68.88707,0,0
TBCB,TMEM5,189.45291,68.87033,0,0
PEPD,HIST1H2BD,189.21619,68.86933,0,0
VGLL4,LAGE3,135.01201,68.83556,0,0
HMG20B,GRB10,177.79591,68.83329,0,0
GRB10,MAPKAPK3,200.07298,68.8184,0,0
UBE2A,CEBPD,176.92609,68.79569,0,0
ERBB2,IL1RAP,203.04059,68.76746,0,0
TGDS,MPZL1,124.40625,68.69379,0,0
SNX13,NOSIP,143.03846,68.68894,0,0
CTNS,GRB10,183.64138,68.68413,0,0
PNKP,HIST1H2BD,200.61799,68.59011,0,0
GADD45B,EFCAB14,135.39208,68.57955,0,0
TBCB,PMM2,187.76215,68.51515,0,0
F12,RBKS,124.50565,68.50672,0,0
CYTH1,PPP3CA,145.42151,68.4862,0,0
INTS3,STAT6,152.50025,68.48199,0,0
SLC25A14,EBP,133.50045,68.47715,0,0
PRR7,PPARG,179.27283,68.45253,0,0
POLR2I,FANCL,175.96587,68.45116,0,0
SRRM1,LAGE3,144.03776,68.44719,0,0
HEATR1,S100A13,246.77932,68.40608,0,0
RAP1A,CSRP1,190.00944,68.36672,0,0
MSH6,CHCHD7,160.96505,68.35636,0,0
GRB10,CSRP1,179.20183,68.35266,0,0
ITGAE,STAT6,158.15782,68.3381,1,0
KIF2C,TCTA,240.39973,68.3308,0,0
CREB1,RBKS,126.66416,68.31613,0,0
HMG20B,P4HA2,175.26105,68.30204,0,0
