feature1,feature2,additive_rmst,additive_interaction_score,string_evidence,biogrid_evidence
PAX8,GM2A,211.12613,92.67141,0,0
IGF1R,DYNLT3,160.0771,92.59755,0,0
DCUN1D4,PRAF2,200.14396,92.48686,0,0
MLEC,MTERF3,193.48708,92.40307,0,0
RGS2,ZNF318,182.35878,92.38912,0,0
DNM1,TIPARP,184.9809,92.37789,0,0
RGS2,YME1L1,205.47081,92.06097,0,0
SMG7,GLRX,174.51571,92.04724,0,0
RRP12,CDK2,219.9199,91.74678,0,0
EPB41L2,CISD1,194.87484,91.71773,0,0
RRP12,POLE2,221.36074,91.67017,0,0
KIAA1033,FAM57A,191.13857,91.58473,0,0
ASCC3,EXOSC4,173.02367,91.45685,0,0
LBR,NSDHL,230.88977,91.33729,1,0
MAPK9,PAX8,209.60653,91.15181,0,0
PHGDH,CASC3,159.6579,91.1413,0,0
ALAS1,SLC37A4,174.9228,91.12929,0,0
HSD17B10,INTS3,172.11174,90.84537,0,0
ME2,EBP,186.99371,90.84054,0,0
TCIRG1,MPC2,168.02552,90.8122,0,0
MPC2,IKBKE,170.48109,90.5869,0,0
HSD17B10,RGS2,180.52749,90.55783,0,0
PSIP1,TXNRD1,186.47866,90.52774,0,0
ARHGAP1,GTF2E2,193.02491,90.3655,0,0
GMNN,SCAND1,157.16057,90.27745,0,0
SPAG4,INTS3,206.75257,90.24076,0,0
SLC16A6,DDX10,171.84857,89.86433,0,0
